Entity,Code,AvgTemp,CountryID,"Forest Area, 1990","Forest Area, 2000","Forest Area, 2010","Forest Area, 2015",Forest_2020,Land_2020,PropForest_2020,"Deforestation, 2015-2020","Total Forest Area Affected by Fire, 2015"
Afghanistan,AFG,12.358947024999999,4,1208.44,1208.44,1208.44,1208.44,1208.44,65286,1.85,...,...
Albania,ALB,13.342274191666666,8,788.8,769.3,782.07,789.19,788.9,2740,28.79,...,...
Algeria,DZA,24.726197416666665,12,1667,1579,1918,1956,1949,238174,0.82,5.4,...
American Samoa,ASM,26.994466083333332,16,18.07,17.73,17.43,17.28,17.13,20,85.65,...,0
Andorra,AND,5.845052075,20,16,16,16,16,16,47,34.04,...,...
Angola,AGO,22.629383666666666,24,79262.78,77708.61,72158,69382.69,66607.38,124670,53.43,...,...
Anguilla,AIA,26.48307283333333,660,5.5,5.5,5.5,5.5,5.5,9,61.11,...,...
Antigua and Barbuda,ATG,26.460612083333334,28,10.11,9.45,8.78,8.45,8.12,44,18.45,...,...
Argentina,ARG,15.251496666666666,32,35204,33378,30214,29097,28573,273669,10.44,134.8,128
Armenia,ARM,7.103250516666667,51,334.73,332.64,330.56,329.52,328.47,2847,11.54,...,...
Australia,AUS,22.580719666666667,36,133882.2,131814.1,129546.1,133094.5,134005.1,768230,17.44,...,14774.38
Austria,AUT,7.716935516666666,40,3775.67,3838.14,3863.2,3881.19,3899.15,8252,47.25,5.81,0.09
Azerbaijan,AZE,12.649591058333334,31,944.74,987.22,1032.49,1077.89,1131.77,8266,13.69,86.36,...
Bahamas,BHS,26.114348416666665,44,509.86,509.86,509.86,509.86,509.86,1001,50.94,...,0.28
Bahrain,BHR,26.601399666666666,48,0.22,0.37,0.52,0.6,0.7,77,0.91,0,0
Bangladesh,BGD,25.394575833333334,50,1920.33,1920.33,1888.34,1883.4,1883.4,13017,14.47,0,...
Belarus,BLR,9.106810016666666,112,7780,8273,8630,8633.5,8767.6,20297.8,43.19,3.5,13.89
Belgium,BEL,11.546821383333333,56,677.4,667.3,689.87,689.3,689.3,3028,22.76,1.5,0
Belize,BLZ,26.456218333333332,84,1600.03,1459.3,1391.39,1332.83,1277.05,2281,55.99,11.16,...
Benin,BEN,27.868416333333332,204,4835.15,4135.15,3635.15,3385.15,3135.15,11276,27.8,...,...
Bhutan,BTN,8.556715028333333,64,2506.72,2606,2705.29,2715.18,2725.08,3812,71.49,0.43,6.2
Bolivia,BOL,21.083227416666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,11.114944158333333,70,2210,2111.65,2102.66,2160.5,2187.91,5120,42.73,...,9.47
Botswana,BWA,22.03041925,72,18803.7,17620.7,16437.7,15846.2,15254.7,56673,26.92,...,142.92
Brazil,BRA,25.193412,76,588898,551088.6,511580.7,503884.8,496619.6,835814,59.42,1695.7,32998.07
Brunei,BRN,26.870919999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,12.335101125,100,3327,3375,3737,3833,3893,10856,35.86,0,4.3
Burkina Faso,BFA,28.985501666666668,854,7716.6,7216.5,6716.5,6466.4,6216.4,27360,22.72,...,...
Burundi,BDI,21.340369250000002,108,276.48,193.94,193.94,279.64,279.64,2568,10.89,0,47.32
Cambodia,KHM,27.731823333333335,116,11004.79,10781,10589.23,8846.82,8068.37,17652,45.71,...,446
Cameroon,CMR,25.168077833333335,120,22500,21597.49,20900.48,20620.48,20340.48,47271,43.03,58,...
Canada,CAN,-3.5554604666666663,124,348272.93,347801.97,347322.21,347115.71,346928.1,909351,38.15,37.52,3861.65
Cape Verde,CPV,23.168567916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,27.309082166666666,136,13.13,12.93,12.72,12.72,12.72,24,53,0,0
Central African Republic,CAF,26.598980416666667,140,23203,22903,22603,22453,22303,62298,35.8,30,...
Chad,TCD,27.555348833333333,148,6730,6353,5530,4890,4313,125920,3.43,...,...
Chile,CHL,9.541282583333334,152,15246.05,15817.06,16725.26,17596.08,18210.7,74353,24.49,9.4,74.95
China,CHN,7.606333433333334,156,157140.59,177000.55,200610.38,210294.25,219978.18,942470,23.34,133.2,12.94
Colombia,COL,24.522578083333332,170,64958.14,62735.5,60807.79,60134.66,59141.91,110950,53.31,199.23,...
Comoros,COM,25.345251166666667,174,46.06,41.68,37.3,35.11,32.92,186,17.7,...,...
Congo,COG,25.379705416666667,178,22315,22195,22075,22015,21946,34150,64.26,13.8,...
Cook Islands,COK,24.685709666666668,184,14.91,15.57,15.59,15.59,15.59,24,64.96,...,...
Costa Rica,CRI,23.41701275,188,2907.4,2857.22,2871.2,2953.03,3034.87,5106,59.44,0,2
Cote d'Ivoire,CIV,26.837761916666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,HRV,12.811766758333333,191,1850,1885,1920,1922,1939.11,5596,34.65,0.05,1.77
Cuba,CUB,26.1664535,192,2058,2435,2932,3184,3242,10402,31.17,0,8.39
Cyprus,CYP,20.228836166666667,196,161.11,171.61,172.84,172.71,172.53,924,18.67,...,0.03
Czechia,CZE,9.439028866666666,203,2629.42,2637.29,2657.38,2668.39,2677.09,7721,34.67,...,0.34
Democratic Republic of Congo,COD,24.815182333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,DNK,10.080149475,208,531.44,571.6,586.49,624.68,628.44,4199,14.97,0.62,0
Djibouti,DJI,28.654887416666668,262,5.6,5.6,5.6,5.6,5.8,2318,0.25,0.16,...
Dominican Republic,DOM,24.86859425,214,1594.89,1972.47,2073.12,2103.65,2144.1,4831,44.38,...,11.6
East Timor,TLS,25.068025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,ECU,21.277850083333334,218,14632.21,13730.5,13028.19,12819.18,12497.83,24836,50.32,87.22,...
Egypt,EGY,23.157832333333335,818,43.81,59.21,65.64,48.42,44.98,99545,0.05,...,...
El Salvador,SLV,26.484449583333333,222,718.88,673.88,628.88,606.38,583.88,2072,28.18,4.5,...
Equatorial Guinea,GNQ,24.583178166666666,226,2699.15,2615.58,2532.01,2490.22,2448.42,2805,87.29,8.36,...
Eritrea,ERI,27.003662249999998,232,1150.06,1118.46,1086.86,1071.06,1055.26,10100,10.45,...,...
Estonia,EST,8.269718555833334,233,2205.9,2238.89,2336.02,2421.01,2438.4,4347,56.09,5.01,0.08
Eswatini,SWZ,19.813792333333335,748,461.14,473.28,485.43,491.5,497.56,1720,28.93,...,...
Ethiopia,ETH,23.758896083333333,231,19258.5,18528.5,17798.5,17433.5,17068.5,111971.55,15.24,92,...
Falkland Islands,FLK,7.1215179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe Islands,FRO,7.249205191666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,25.034735,242,939.69,1006.47,1073.24,1106.62,1140.02,1827,62.4,...,...
Finland,FIN,4.7219345125,246,21875.33,22445.64,22242,22409,22409,30391,73.74,...,0.15
France,FRA,14.505009000000001,250,14436,15288,16419,16836,17253,54756,31.51,...,6.21
French Polynesia,PYF,25.553148916666665,258,144.43,148.55,149.46,149.46,149.46,366,40.84,...,...
Gabon,GAB,25.273505416666666,266,23761.62,23700,23649.41,23590,23530.6,25767,91.32,19.25,0
Gambia,GMB,28.35002791666667,270,414.66,357.33,300,271.34,242.67,1012,23.98,...,...
Georgia,GEO,9.047076529166667,268,2752.3,2760.6,2822.4,2822.4,2822.4,6949,40.62,0,0.21
Germany,DEU,10.541353191666667,276,11300,11354,11409,11419,11419,34886,32.73,7,0.53
Ghana,GHA,27.961059083333332,288,9924.26,8848.61,7942.93,7880.44,7985.71,22754,35.1,...,...
Greece,GRC,15.573571583333333,300,3298.55,3600.23,3901.8,3901.8,3901.8,12890,30.27,...,...
Greenland,GRL,-18.371274833333334,304,0.22,0.22,0.22,0.22,0.22,41045,0,0,0
Guatemala,GTM,23.8309875,320,4781.2,4209.2,3722.6,3585.8,3527.8,10716,32.92,11.6,9.5
Guinea,GIN,26.610099666666667,324,7276,6929,6569,6389,6189,24572,25.19,...,...
Guinea-Bissau,GNB,28.095321333333334,624,2233.33,2148.88,2064.43,2022.21,1980.01,2812,70.41,...,221.55
Guyana,GUY,25.67666325,328,18602.15,18564.22,18519.81,18461.36,18415.34,19685,93.55,9.2,1.13
Haiti,HTI,25.690557166666665,332,382.92,380.65,378.38,362.85,347.3,2756,12.6,...,0.08
Heard Island and McDonald Islands,HMD,1.8763020816666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,24.247933083333333,340,6987.78,6778.27,6575.47,6463.83,6359.26,11189,56.83,23.19,...
Hong Kong,HKG,23.698111833333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,HUN,11.952117225,348,1813.9,1921.17,2046.39,2060.82,2053.01,9053,22.68,3.14,1.6
Iceland,ISL,1.5840303226666668,352,17.07,29.83,44.67,48.16,51.35,10025,0.51,0,0
India,IND,24.162792083333333,356,63938,67591,69496,70828,72160,297319,24.27,668.4,3577
Indonesia,IDN,25.664236583333334,360,118545,101280,99659.2,95027.9,92133.2,187752,49.07,650,...
Iran,IRN,18.338884133333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,IRQ,23.81710225,368,804,818,825,825,825,43412.8,1.9,0,...
Ireland,IRL,10.014667316666667,372,461.64,630.36,720.38,754.67,782.02,6889,11.35,0.62,0.18
Isle of Man,IMN,10.611328091666667,833,3.46,3.46,3.46,3.46,3.46,57,6.07,0,...
Israel,ISR,21.028465583333332,376,132,153,154,165,140,2164,6.47,...,2.71
Italy,ITA,13.7081007,380,7589.75,8369.25,9028.04,9297.08,9566.13,29414,32.52,...,25.87
Jamaica,JAM,26.533597333333333,388,521.28,521,558.45,577.46,596.89,1083,55.11,0.54,...
Japan,JPN,12.750499658333334,392,24950,24876,24966,24944,24935,36456,68.4,...,0.5
Jordan,JOR,20.331955833333332,400,97.5,97.5,97.5,97.5,97.5,8878,1.1,...,...
Kazakhstan,KAZ,7.908974208333333,398,3162.24,3156.93,3082.18,3308.46,3454.68,269970,1.28,...,9.6
Kenya,KEN,25.45274425,404,3858.54,3961.19,3616.34,3522.41,3611.09,56914,6.34,...,3.85
Kiribati,KIR,26.4215495,296,1.18,1.18,1.18,1.18,1.18,81,1.46,...,...
Kosovo,OWID_KOS,11.1658168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,KWT,26.944712916666667,414,3.45,4.85,6.25,6.25,6.25,1782,0.35,0,...
Kyrgyzstan,KGZ,0.4458946750000001,417,1136.42,1180.9,1229.68,1251.81,1315.38,19180,6.86,0,0.02
Laos,LAO,23.813034916666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,LVA,8.631308063333334,428,3173,3241,3372.12,3391.44,3410.79,6218,54.85,0.36,0.32
Lebanon,LBN,16.585842966666668,422,139.7,138.18,137.35,140.33,143.33,1023,14.01,...,0.06
Lesotho,LSO,11.681600816666666,426,34.52,34.52,34.52,34.52,34.52,3036,1.14,...,...
Liberia,LBR,25.763150333333332,430,8525.24,8222.64,7920.04,7768.74,7617.44,9632,79.08,30.26,...
Libya,LBY,22.584567666666665,434,217,217,217,217,217,175954,0.12,...,...
Lithuania,LTU,9.121173525,440,1945,2020,2170,2187,2201,6265,35.13,0.14,0.07
Luxembourg,LUX,10.8718336,442,85.8,86.7,88.7,88.7,88.7,243,36.5,...,...
Madagascar,MDG,23.025716166666665,450,13693.45,13030.67,12561.98,12495.89,12429.81,58180,21.36,...,...
Malawi,MWI,22.54090625,454,3501.7,3081.7,2661.7,2451.7,2241.7,9428,23.78,42,412.61
Malaysia,MYS,26.0261845,458,20618.5,19691.35,18947.65,19464.22,19114.04,32855,58.18,...,0.89
Mali,MLI,29.239272416666665,466,13296,13296,13296,13296,13296,122019,10.9,0,...
Mauritania,MRT,28.483036,478,476.04,421.64,367.24,340.04,312.8,103070,0.3,45.38,0.47
Mauritius,MUS,23.45030825,480,41.07,41.93,38.39,38.3,38.77,203,19.1,0.12,0.08
Mexico,MEX,21.578613583333333,484,70591.65,68381.35,66943.31,66330.91,65692.08,194395,33.79,165.82,59.14
Moldova,MDA,12.187962155833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,MNG,1.9065091095833337,496,14352,14263.9,14183.9,14178.33,14172.78,155356,9.12,1.52,45
Montenegro,MNE,10.558412725,499,626,626,827,827,827,1345,61.49,12,2.34
Morocco,MAR,19.508270375,504,5485.29,5506.54,5674.57,5684.69,5742.49,44630,12.87,0,0.99
Mozambique,MOZ,24.426626083333332,508,43378,41188,38972.14,37940,36743.76,78638,46.73,267.03,14103.76
Myanmar,MMR,24.13403375,104,39218.48,34868.11,31441,29992.44,28543.89,65308,43.71,293.92,1186.9
Namibia,NAM,22.006461583333333,516,8769.17,8059.08,7348.99,6993.95,6638.9,82329,8.06,...,...
Nepal,NPL,12.969752966666666,524,5672,5780.76,5962.03,5962.03,5962.03,14335,41.59,0,...
Netherlands,NLD,11.576919,528,345.33,359.5,373.48,364.83,369.5,3369,10.97,2.19,0.02
New Caledonia,NCL,22.875598333333333,540,831.13,837.85,839.02,838.52,838.02,1828,45.84,...,...
New Zealand,NZL,10.975189675,554,9372.27,9850.44,9848.12,9846.61,9892.59,26331,37.57,6.58,1.54
Nicaragua,NIC,25.862964416666667,558,6399.32,5399.32,4188.15,3907.53,3407.53,12034,28.32,105.03,...
Niger,NER,27.928532083333334,562,1945,1328.1,1203.9,1141.8,1079.7,126670,0.85,14.92,...
Nigeria,NGA,27.260897166666666,566,26526.09,24893.04,23259.98,22443.45,21626.95,91077,23.75,163.31,12
North Korea,PRK,7.908316058333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,MKD,11.785656983333334,807,912,957.55,960.43,994.4,1001.49,2522,39.71,...,3.17
Norway,NOR,1.9717461483333334,578,12132,12113,12102,12141,12180,30413,40.05,5.82,0.14
Oman,OMN,27.93969166666667,512,3,3,3,3,2.5,30950,0.01,...,0
Pakistan,PAK,20.339789541666665,586,4986.79,4511.26,4093.73,3932.6,3725.9,77088,4.83,...,...
Palestine,PSE,21.046179833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,PAN,25.281247166666667,591,4607.4,4442.14,4327.99,4270.91,4213.84,7434,56.68,12.49,2.02
Papua New Guinea,PNG,23.979529833333334,598,36399.68,36277.97,36178.89,36024.42,35855.76,45286,79.18,33.53,3.92
Paraguay,PRY,24.85593325,600,25545.86,22991.65,19570.21,17498.94,16102.26,39730,40.53,279.34,...
Peru,PER,19.365339916666667,604,76448.54,75297.83,74049.8,73194.53,72330.37,128000,56.51,179.09,22.41
Philippines,PHL,26.453860666666667,608,7778.81,7309.26,6839.72,7014.15,7188.59,29817,24.11,...,2.97
Poland,POL,10.0184901,616,8882,9059,9329,9420,9483,30619,30.97,0.77,5.51
Portugal,PRT,15.97945175,620,3399,3281,3252,3312,3312,9161,36.15,...,23.5
Puerto Rico,PRI,25.64099525,630,320.33,429.15,491.45,493.88,496.33,887,55.96,...,...
Qatar,QAT,28.092168083333334,634,0,0,0,0,0,1161,0,0,0
Romania,ROU,11.07980295,642,6371,6366,6515,6900.96,6929.05,23008,30.12,0.02,1.67
Russia,RUS,-1.2760837116666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,RWA,20.225885583333334,646,317,287,265,270,276,2467,11.19,...,...
Saint Helena,SHN,21.610026083333334,654,2,2,2,2,2,39,5.13,...,...
Saint Vincent and the Grenadines,VCT,26.706705916666667,670,27.54,28.54,28.54,28.54,28.54,39,73.18,...,...
Samoa,WSM,25.573870666666668,882,176.13,171.31,166.49,164.07,161.67,283,57.13,...,...
Sao Tome and Principe,STP,26.028401666666667,678,58.62,58.36,58.1,55,51.9,96,54.06,0.62,...
Saudi Arabia,SAU,26.549840583333335,682,977,977,977,977,977,214969,0.45,...,...
Senegal,SEN,29.3760095,686,9303.16,8853.16,8468.16,8268.16,8068.16,19253,41.91,51,...
Serbia,SRB,11.669056361666668,688,2313,2460,2713,2719.53,2722.65,8746,31.13,0.04,1.85
Seychelles,SYC,26.94165458333333,690,33.7,33.7,33.7,33.7,33.7,46,73.26,...,...
Sierra Leone,SLE,26.401540833333332,694,3126.7,2929.43,2732.16,2633.53,2534.88,7218,35.12,...,...
Slovakia,SVK,9.500336275,703,1902.48,1901.41,1917.91,1921.75,1925.9,4808,40.06,...,0.35
Slovenia,SVN,10.832700316666667,705,1188,1233,1247,1248,1237.83,2014,61.46,2.03,0.06
Solomon Islands,SLB,26.5830355,90,2544.91,2537.6,2530.28,2526.62,2522.97,2799,90.14,...,...
Somalia,SOM,27.094904083333333,706,8282.5,7515,6747.5,6363.75,5980,62734,9.53,76.75,...
South Africa,ZAF,18.182199583333333,710,18142.09,17778.09,17414.09,17232.09,17050.09,121309,14.06,199,11.96
South Georgia and the South Sandwich Islands,SGS,-0.6883418916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,KOR,12.8532382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,SSD,28.050374083333335,728,7157,7157,7157,7157,7157,63173,11.33,...,...
Spain,ESP,14.711415166666667,724,13904.66,17093.93,18545.34,18551.18,18572.17,49966.1,37.17,3.74,32.88
Sri Lanka,LKA,26.98958125,144,2350.33,2166.42,2103.62,2128.82,2113.02,6271,33.7,...,...
Sudan,SDN,27.215233583333333,729,23570.31,21826.16,20081.17,19209.93,18359.55,186665,9.84,264,...
Suriname,SUR,26.23335475,740,15377.63,15340.87,15299.86,15251.67,15196.29,15600,97.41,11.65,2.5
Sweden,SWE,5.4424187075,752,28063,28163,28073,27980,27980,40731,68.69,13.05,0.35
Switzerland,CHE,6.6846513750000005,756,1153.5,1196.18,1234.72,1251.91,1269.11,3952,32.11,1.34,0.02
Syria,SYR,20.064734708333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,TJK,0.005644633333333353,762,408,410,410,421.8,423.8,13879,3.05,...,...
Tanzania,TZA,22.933606583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,THA,27.004931666666668,764,19361,18998,20073,20061,19873,51089,38.9,37.6,16.58
Togo,TGO,27.425826166666667,768,1361.66,1268.46,1238.87,1224.07,1209.27,5439,22.23,4.96,...
Trinidad and Tobago,TTO,26.494140416666667,780,242.06,236.65,232.41,230.29,228.19,513,44.48,...,1.5
Tunisia,TUN,20.85957775,788,643.98,667.85,687.43,695.08,702.73,15536,4.52,0.57,5.04
Turkey,TUR,12.792026705,792,19783.48,20148.35,21083.08,21630.3,22220.36,76963,28.87,1.17,3.22
Turkmenistan,TKM,16.462751808333334,795,4127,4127,4127,4127,4127,46993,8.78,...,...
Uganda,UGA,23.171006583333334,800,3575.47,3162.95,2750.42,2544.16,2337.9,20052,11.66,51.09,...
Ukraine,UKR,10.760084541666666,804,9274,9510,9548,9657,9690,57929,16.73,0.1,14.7
United Arab Emirates,ARE,28.58340108333333,784,245,309.43,317.3,317.3,317.3,7102,4.47,...,...
United Kingdom,GBR,9.900754075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States,USA,10.273097868333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States Virgin Islands,VIR,26.711263083333332,850,24.54,20.47,18.43,19.16,19.91,35,56.89,...,...
Uruguay,URY,17.60806983333333,858,798,1369,1731.3,1920,2031,17502,11.6,...,...
Uzbekistan,UZB,13.465741079166667,860,2549.37,2961.46,3349.6,3549.4,3689.66,42540,8.67,14.15,0.17
Vanuatu,VUT,25.271980083333332,548,442.3,442.3,442.3,442.3,442.3,1219,36.28,...,...
Venezuela,VEN,25.976387416666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vietnam,VNM,24.412868333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
World,OWID_WRL,14.803611166666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yemen,YEM,25.859893583333335,887,549,549,549,549,549,52797,1.04,...,...
Zambia,ZMB,22.167939166666667,894,47412,47054,46696,45755.1,44814.03,74339,60.28,189.71,15077
Zimbabwe,ZWE,21.785587,716,18826.68,18365.98,17905.28,17674.93,17444.58,38685,45.09,46.07,2830
